ID;FECHA;EMPLEADOS
48;2019T4;19966.9
47;2019T3;19874.3
46;2019T2;19804.9
45;2019T1;19471.1
44;2018T4;19564.6
43;2018T3;19528
42;2018T2;19344.1
41;2018T1;18874.2
40;2017T4;18998.4
39;2017T3;19049.2
38;2017T2;18813.3
37;2017T1;18438.3
36;2016T4;18508.1
35;2016T3;18527.5
34;2016T2;18301
33;2016T1;18029.6
32;2015T4;18094.2
31;2015T3;18048.7
30;2015T2;17866.5
29;2015T1;17454.8
28;2014T4;17569.1
27;2014T3;17504
26;2014T2;17353
25;2014T1;16950.6
24;2013T4;17135.2
23;2013T3;17230
22;2013T2;17160.6
21;2013T1;17030.2
20;2012T4;17339.4
19;2012T3;17667.7
18;2012T2;17758.5
17;2012T1;17765.1
16;2011T4;18153
15;2011T3;18484.5
14;2011T2;18622
13;2011T1;18426.2
12;2010T4;18674.9
11;2010T3;18819
10;2010T2;18751.1
9;2010T1;18652.9
8;2009T4;18890.4
7;2009T3;19098.4
6;2009T2;19154.2
5;2009T1;19284.4
4;2008T4;20055.3
3;2008T3;20556.4
2;2008T2;20646.9
1;2008T1;20620
