ID_PROVINCIA,PROVINCIA,2020T2,2020T1,2019T4,POBLACION_2019,% SOBRE_TOTAL_PROVINCIA_2019,GAP_2019T4_2020T2,% GAP SOBRE TOTAL
1,Araba/Álava,136700,142800,142800,331549,43.07,6100,0.4
2,Albacete,144200,146200,150700,388167,38.82,6500,0.5
3,Alicante/Alacant,701600,760800,787600,1858683,42.37,86000,6.3
4,Almería,252700,284500,286900,716820,40.02,34200,2.5
5,Avila,60500,63200,63600,157640,40.35,3100,0.2
6,Badajoz,230200,235200,237900,673559,35.32,7700,0.6
7,"Balears, Illes",512200,503000,570100,1149460,49.6,57900,4.3
8,Barcelona,2387200,2557000,2569700,5664579,45.36,182500,13.4
9,Burgos,141700,155000,156000,356958,43.7,14300,1.1
10,Cáceres,141200,140700,143000,394151,36.28,1800,0.1
11,Cádiz,413600,417800,420400,1240155,33.9,6800,0.5
12,Castellón/Castelló,232800,241400,242800,579962,41.86,10000,0.7
13,Ciudad Real,177100,184400,187700,495761,37.86,10600,0.8
14,Córdoba,266300,281500,282800,782979,36.12,16500,1.2
15,"Coruña, A",450800,464100,476500,1119596,42.56,25700,1.9
16,Cuenca,74700,77600,81000,196329,41.26,6300,0.5
17,Girona,324800,348200,356100,771044,46.18,31300,2.3
18,Granada,298800,336500,342000,914678,37.39,43200,3.2
19,Guadalajara,108500,117900,122000,257762,47.33,13500,1
20,Gipuzkoa,302100,309700,310800,723576,42.95,8700,0.6
21,Huelva,199000,194600,189100,521870,36.24,-9900,-0.7
22,Huesca,94900,98200,99800,220461,45.27,4900,0.4
23,Jaén,187700,216200,218200,633564,34.44,30500,2.2
24,León,160000,170800,180500,460001,39.24,20500,1.5
25,Lleida,190300,204700,206500,434930,47.48,16200,1.2
26,"Rioja, La",135100,138800,140600,316798,44.38,5500,0.4
27,Lugo,129500,134900,135900,329587,41.23,6400,0.5
28,Madrid,2962600,3147000,3174500,6663394,47.64,211900,15.6
29,Málaga,602000,639500,647900,1661785,38.99,45900,3.4
30,Murcia,590100,604800,611900,1493898,40.96,21800,1.6
31,Navarra,271500,284300,287700,654214,43.98,16200,1.2
32,Ourense,109400,112000,112200,307651,36.47,2800,0.2
33,Asturias,371300,387600,392000,1022800,38.33,20700,1.5
34,Palencia,62800,62500,64400,160980,40,1600,0.1
35,"Palmas, Las",436900,488900,481600,1120406,42.98,44700,3.3
36,Pontevedra,360800,372000,371300,942665,39.39,10500,0.8
37,Salamanca,124200,129100,130800,330119,39.62,6600,0.5
38,Santa Cruz de Tenerife,385300,441300,458700,1032983,44.41,73400,5.4
39,Cantabria,220200,239200,244700,581078,42.11,24500,1.8
40,Segovia,65300,68800,71600,153129,46.76,6300,0.5
41,Sevilla,689000,736600,748800,1942389,38.55,59800,4.4
42,Soria,38900,40300,41400,88636,46.71,2500,0.2
43,Tarragona,325200,341400,345700,804664,42.96,20500,1.5
44,Teruel,54700,56700,59200,134137,44.13,4500,0.3
45,Toledo,266600,274800,282800,694844,40.7,16200,1.2
46,Valencia/Valéncia,1011300,1072100,1075900,2565124,41.94,64600,4.8
47,Valladolid,213800,230300,231600,519546,44.58,17800,1.3
48,Bizkaia,460800,477500,479700,1152651,41.62,18900,1.4
49,Zamora,59800,64200,64000,172539,37.09,4200,0.3
50,Zaragoza,412600,427300,432300,964693,44.81,19700,1.4
51,Ceuta,28800,29300,28000,84777,33.03,-800,-0.1
52,Melilla,29500,28300,26900,86487,31.1,-2600,-0.2
